,用户的id,用户的姓名,保密,女,男,"用户的签名（0,1）",用户的等级,有没有佩戴粉丝牌,vip,关注数,粉丝数,收藏夹总视频数,收藏夹id,视频数量,视频的时长,视频的bv_id,视频的id,视频的收藏数,视频的播放数,视频的弹幕数,点赞数,投币数,分享数,视频的up主的粉丝数,这个视频的第几个tag,标签的id,标签的名字,标签的订阅数,这个标签下的视频投稿数,这个标签下的精选视频数,大Tag
680,315.0,6wingangel,1.0,0.0,0.0,0.0,-2.300212141,0.0,1.0,-0.708636312,-0.082571792,-0.444260097,62015715.0,103.0,712.0,BV1Tf4y157i4,291779327.0,-0.089957896,0.039853432,-0.04882016,-0.11740495,-0.206444635,-0.088685639,0.028132772,0.0,11687.0,综艺,0.010370373,0.879012972,0.189455781,综艺
735,484.0,DPS比治疗低,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.560371748,-0.082271516,-0.3910018,50571784.0,389.0,493.0,BV1QP4y1L7Te,891395692.0,-0.214560499,-0.221449771,-0.155593155,-0.256822607,-0.184493889,-0.216653517,-0.211796522,0.0,48590.0,上古卷轴5,-0.665582323,-0.5040215,-0.392222739,游戏
748,2020.0,玥兔Official,1.0,0.0,0.0,1.0,0.836650855,1.0,1.0,-0.432916245,-0.081468452,-0.310307411,60657620.0,269.0,317.0,BV1HN41197Tg,501886175.0,-0.303571102,-0.299702777,-0.161746922,-0.305148751,-0.239987699,-0.30356596,-0.208093768,4.0,11687.0,综艺,0.010362803,0.879012972,0.189206412,综艺
819,2051.0,兰斯隆特,1.0,0.0,0.0,0.0,0.836650855,0.0,1.0,-0.719040843,-0.082173751,-0.478797296,1194963251.0,117.0,227.0,BV1rQ4y1D7Mf,718662922.0,-0.278650581,-0.256966703,-0.00470103,-0.264789331,-0.175552648,-0.278645607,-0.033069778,0.0,386.0,翻唱,-0.09527326,0.079090386,-0.161406638,音乐
823,2057.0,财务成本管理,1.0,0.0,0.0,0.0,-0.731780643,0.0,0.0,-0.833490682,-0.082676539,-0.50074617,1170587157.0,6.0,8020.0,BV13x411o72x,56628260.0,-0.044373206,-0.042044416,-0.021723025,-0.205038906,-0.20049871,-0.044175073,-0.163171097,1.0,11687.0,综艺,0.010362803,0.879012972,0.189206412,综艺
853,2082.0,计大的很,0.0,0.0,1.0,1.0,-0.731780643,1.0,1.0,1.575158204,-0.082564808,0.561191994,972910782.0,54.0,1829.0,BV137411w7Bj,90531973.0,-0.141835309,0.187574336,0.024672559,0.10167994,-0.144258306,-0.144323847,0.655458902,0.0,28784.0,编程,-0.027552012,-0.394873647,-0.361251089,知识
1093,2094.0,宅嘶唧,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,0.394243955,-0.076803701,-0.322572958,745059194.0,115.0,141.0,BV1xV411j768,418159132.0,-0.310347881,-0.303842231,-0.162848432,-0.311860715,-0.242535953,-0.310342694,-0.216417315,0.0,98890.0,C4D,-0.580688874,-0.493378965,-0.38898094,知识
1111,2114.0,すみれ様の風ちゃん,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,1.481517426,-0.082474027,-0.415210117,62558714.0,269.0,33305.0,BV11q4y1g7vZ,548930967.0,-0.023553249,-0.216050916,-0.133651085,-0.256822607,-0.213852453,-0.02191979,-0.199647816,1.0,28784.0,编程,-0.027541412,-0.394873647,-0.361251089,知识
1161,2138.0,DJLaoKe,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.471933236,-0.081314823,-0.485252847,1330261938.0,4.0,765.0,BV1y64y1q757,759949922.0,4.102258992,4.273870297,3.334282919,8.243671126,10.85346775,4.100871382,12.40634838,0.0,16230013.0,黑神话悟空,-0.562358333,-0.510135264,-0.381200622,游戏
1182,2143.0,紫眸,1.0,0.0,0.0,0.0,0.836650855,0.0,0.0,0.04309104,-0.082508943,0.58281809,838867343.0,73.0,414.0,BV1V7411r7Qe,85339970.0,0.758163257,0.051377102,-0.114822614,0.213214066,0.177626359,0.757015114,-0.002468503,0.0,1463475.0,增肌,-0.620818919,-0.491893961,-0.380751758,运动
1320,2153.0,蜡烛伐点伐亮,0.0,0.0,1.0,0.0,-0.731780643,0.0,1.0,-0.739849905,-0.082529893,-0.493645063,62191753.0,71.0,308.0,BV1T34y1o73U,806829194.0,0.851864192,0.366475727,-0.079001523,0.723084355,0.718571421,0.851600067,0.227041057,1.0,28784.0,编程,-0.027541412,-0.394873647,-0.361251089,知识
1344,2157.0,炒断腿,0.0,0.0,1.0,1.0,0.836650855,0.0,0.0,4.295943014,-0.081056446,-0.271251326,44787957.0,760.0,156.0,BV1NY41147ka,251798262.0,-0.308055571,-0.299471836,-0.162481262,-0.301950111,-0.237439446,-0.3080504,-0.215744087,0.0,9500.0,宅舞,0.191106235,-0.425811247,-0.343695499,舞蹈
1346,2220.0,莫Mo______,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.469332103,-0.075330254,-0.480411184,159177120.0,21.0,484.0,BV1XW411A7eN,24540488.0,-0.310815245,-0.30443605,-0.162540009,-0.312466186,-0.242415246,-0.310810055,-0.216340812,0.0,81265.0,日本综艺,-0.462482173,-0.482736431,-0.371425351,综艺
1380,2279.0,朱颜の血,1.0,0.0,0.0,1.0,-5.437075136,0.0,0.0,-0.604591004,-0.082648606,-0.507201721,61915079.0,29.0,33344.0,BV1P7411v7js,84165747.0,-0.01826202,0.351798778,1.150297851,0.093713217,0.369863034,-0.01635597,-0.066455768,0.0,329830.0,黑暗之魂2,-0.687801252,-0.508971516,-0.3949658,游戏
1400,4002.0,你们都是笨蛋,1.0,0.0,0.0,1.0,-0.731780643,0.0,0.0,-0.797074824,-0.082620674,-0.486866735,62930402.0,92.0,743.0,BV1WJ411E7co,83819126.0,0.26165012,1.393780855,2.047000081,2.025643611,1.536694945,0.261835068,1.099177385,1.0,11687.0,综艺,0.010362803,0.879012972,0.189206412,综艺
1415,4027.0,伊瑞尔的残影,1.0,0.0,0.0,0.0,-0.731780643,0.0,1.0,-0.755456701,-0.082746371,-0.498809504,50118327.0,48.0,381.0,BV11M4y1V78G,932578413.0,0.700666347,0.054451707,-0.127056714,0.133546833,0.244685664,0.701376907,-0.101142313,1.0,337310.0,AE教程,-0.527288644,-0.501546492,-0.395314917,知识
1443,4036.0,塔布莉斯,1.0,0.0,0.0,1.0,0.836650855,0.0,1.0,-0.529158155,-0.076754819,-0.484930069,1162663636.0,37.0,237771.0,BV1Vt411d7or,34511177.0,0.210913297,-0.081552196,0.016697629,-0.224955714,-0.188964509,0.211760681,-0.121675768,0.0,337310.0,AE教程,-0.52728713,-0.501546492,-0.395314917,知识
1472,4037.0,黑暗瑟米欧斯,0.0,0.0,1.0,0.0,-0.731780643,0.0,0.0,-0.086965595,-0.082613691,-0.325477956,1328342737.0,4.0,765.0,BV1y64y1q757,759949922.0,4.10227012,4.27343464,3.334150738,8.243671126,10.85346775,4.100871382,12.40634838,0.0,16230013.0,黑神话悟空,-0.56236439,-0.510135264,-0.381200622,游戏
1679,4050.0,黑音_official,0.0,1.0,0.0,1.0,0.836650855,1.0,1.0,-0.362685662,-0.075127742,-0.44781065,53709750.0,202.0,458.0,BV1UQ4y1i77n,721165657.0,-0.076649147,0.051444798,-0.037584763,0.531882997,0.44139296,-0.077557998,-0.033069778,1.0,13715.0,STEAM,-0.265591633,-0.200585519,-0.258461118,游戏
1708,4054.0,只是个过路的,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,-0.172802975,-0.082222634,-0.3593696,1267333354.0,10.0,436.0,BV1Uh411f7cv,203370779.0,0.197654623,-0.12077943,-0.145855811,-0.18910546,-0.180023269,0.195069219,0.043433409,0.0,22269.0,瑜伽,-0.45286568,-0.47927142,-0.383943683,运动
1728,4058.0,稻荷团子,1.0,0.0,0.0,0.0,0.836650855,0.0,1.0,-0.529158155,-0.082292465,-0.429412329,62514858.0,270.0,59.0,BV1dQ4y1z72c,720760544.0,-0.269564801,-0.183544551,-0.125969891,-0.16520529,-0.202166251,-0.269559888,-0.165986414,1.0,212197.0,战争雷霆,-0.648039151,-0.480508924,-0.386985987,游戏
1743,4070.0,柒夜,0.0,0.0,1.0,0.0,-0.731780643,0.0,0.0,-0.693029516,-0.082418162,-0.501391725,62645270.0,47.0,9190.0,BV1ms411y7J5,5371095.0,-0.182779741,-0.25401814,-0.149527509,-0.290019943,-0.231323637,-0.183270592,-0.179297969,0.0,4344.0,健身,0.264016544,-0.044165013,-0.230033033,运动
1753,4092.0,魔界之莉莉姆搬运组,1.0,0.0,0.0,1.0,0.836650855,1.0,1.0,0.102917092,0.120030644,-0.446842318,1089455492.0,46.0,364.0,BV1EJ411T7b8,69072798.0,-0.307393472,-0.300500296,-0.162202213,-0.310108036,-0.242388422,-0.307388305,-0.216249008,0.0,47988.0,我的世界,0.244859266,-0.077825122,-0.132330193,游戏
1807,4159.0,血舞枫夜,0.0,0.0,1.0,0.0,0.836650855,1.0,1.0,-0.513551359,-0.082704472,-0.509461164,62265859.0,22.0,1584.0,BV1vN411Q7rQ,502092529.0,0.57800553,-0.004133504,-0.076416647,0.037946154,-0.045904658,0.57897285,-0.033069778,0.0,8859.0,考试,-0.252933172,-0.144897839,-0.207440186,知识
1822,4164.0,AL,1.0,0.0,0.0,0.0,-0.731780643,0.0,1.0,-0.807479355,-0.082711455,-0.502682835,62315564.0,43.0,649.0,BV1AP4y1b7jM,891179983.0,-0.177154681,-0.036745581,-0.124706827,-0.057654526,0.043507749,-0.177706771,-0.107339071,4.0,17683.0,单机游戏,0.590656302,3.669089493,0.856767673,游戏
1827,4202.0,十字军之王3,0.0,0.0,1.0,1.0,-3.868643638,1.0,0.0,-0.817883886,-0.082585758,-0.50074617,62930602.0,42.0,394.0,BV1qb4y1o7jK,630726837.0,0.220427495,-0.007873488,-0.111150916,0.24906432,0.325156831,0.222888322,0.043433409,1.0,7945544.0,原神,-0.102729033,-0.080547631,0.334439015,游戏
1847,4348.0,秦先森鸭,1.0,0.0,0.0,0.0,-3.868643638,0.0,0.0,-0.778866895,-0.082739387,-0.498163949,1210800648.0,21.0,76884.0,BV1zv411z73y,243360202.0,1.227853033,0.20499005,0.095110424,-0.017820909,-0.135317065,1.229939877,-0.002468503,2.0,360005.0,英语学习,0.189436105,-0.399328661,-0.351974556,知识
1870,4350.0,快要坏掉的八音盒,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,-0.742451037,-0.082439111,-0.352914048,60149550.0,489.0,1607.0,BV1564y1d7gJ,758641492.0,-0.175658003,0.094999534,-0.133592337,-0.224955714,-0.135317065,-0.177706771,0.089335321,0.0,5033.0,DNF,-0.320065409,-0.33720596,-0.359655126,游戏
1895,4504.0,纯灰Mk2,1.0,0.0,0.0,1.0,0.836650855,1.0,1.0,0.370833761,-0.063989601,-0.212828589,58247004.0,862.0,88.0,BV15P4y1j7SF,891465763.0,0.622060159,0.520438746,-0.112795837,1.316605239,0.155273257,0.623483416,0.594256353,0.0,25483.0,GMV,-0.630159833,-0.417891221,-0.316314765,游戏
1944,4586.0,破邪攻少,1.0,0.0,0.0,1.0,0.836650855,0.0,0.0,-0.362685662,-0.082732404,-0.424247889,241206286.0,59.0,597.0,BV17b4y1U7TZ,632804209.0,-0.187080604,-0.035440236,-0.052154063,0.025996069,-0.144258306,-0.188834413,-0.133533762,3.0,28784.0,编程,-0.027539898,-0.394873647,-0.361251089,知识
2036,6039.0,宋伊雪,0.0,0.0,1.0,0.0,0.836650855,1.0,1.0,-0.661815923,-0.082669556,-0.387451247,776391439.0,27.0,248.0,BV1W54y1X73b,840576469.0,-0.025634132,0.097249785,-0.09358551,0.105663301,0.110567054,-0.027483611,0.074034684,1.0,14377864.0,说唱新世代,-0.62885159,-0.503526498,-0.37337043,综艺
2090,6080.0,海青绿茶,0.0,0.0,1.0,0.0,-0.731780643,0.0,0.0,-0.016735012,-0.082725421,-0.301915194,747252580.0,17.0,2015.0,BV1t4411Y7hp,51976085.0,0.369060401,0.557551935,0.205232008,0.045912877,0.088213952,0.367547662,-0.01776914,0.0,14379.0,PR,-0.36374164,-0.494368969,-0.390576903,知识
2172,6081.0,达也的背影,0.0,0.0,1.0,0.0,0.836650855,1.0,0.0,1.590765,-0.082718438,-0.075002572,60467081.0,235.0,23025.0,BV1Gw411Z7Xn,333945321.0,-0.299943466,-0.296423659,-0.148631615,-0.310303221,-0.241843007,-0.299938349,-0.208491585,1.0,11687.0,综艺,0.010367345,0.879012972,0.189206412,综艺
2268,6134.0,稀音大小姐,0.0,1.0,0.0,1.0,0.836650855,1.0,1.0,-0.432916245,-0.082166768,-0.332579062,46468734.0,93.0,159.0,BV1Hp411R7kF,23892797.0,0.126548516,0.562162013,0.19665492,0.02997943,0.432451719,0.12830337,0.777864001,0.0,4978.0,世界杯,-0.634364683,-0.495358972,-0.381549739,运动
2312,6149.0,捕猎Xloli,0.0,0.0,1.0,0.0,-0.731780643,0.0,1.0,-0.37048906,-0.082725421,-0.490740065,62032049.0,74.0,998.0,BV1Yk4y1d7Wn,752502257.0,11.52406185,6.483258777,3.395820587,2.276595394,1.33998765,11.52300826,7.464242517,0.0,1550817.0,天鹅臂,-0.657059061,-0.510199367,-0.394068071,运动
2333,6158.0,YLA,1.0,0.0,0.0,1.0,0.836650855,1.0,0.0,-0.258640354,-0.082753354,-0.5046195,62516558.0,5.0,383.0,BV1A341147UW,422080050.0,-0.289555743,-0.290552757,-0.159837639,-0.268772692,-0.215627289,-0.289550696,-0.215560479,1.0,20002.0,TRPG,-0.678661723,-0.507981513,-0.390776398,游戏
2349,6209.0,Lanzrsky,0.0,0.0,1.0,0.0,0.836650855,0.0,1.0,-0.80227709,-0.082739387,-0.488157845,113703009.0,2.0,1057.0,BV1Ds411D72i,2330298.0,-0.305930177,-0.302480167,-0.155945638,-0.311792998,-0.24200842,-0.30592502,-0.215438074,1.0,364.0,格斗,-0.610587673,-0.43595878,-0.357560425,运动
2365,6216.0,红泠Ruby,1.0,0.0,0.0,1.0,0.836650855,1.0,1.0,0.193956737,-0.075616564,0.182896697,1114166816.0,788.0,34.0,BV1v4411Y7tz,52034167.0,-0.307749559,-0.251388747,-0.16267219,-0.302798567,-0.242459952,-0.30774439,-0.213724403,0.0,11687.0,综艺,0.010370373,0.879012972,0.189455781,综艺
2419,6524.0,ユリ.妖,1.0,0.0,0.0,1.0,-0.731780643,0.0,1.0,-0.497944563,-0.082697488,-0.426184554,110332824.0,12.0,3776.0,BV1cx411V7Mc,14847574.0,-0.306353031,-0.297348033,-0.16074822,-0.311589847,-0.24222748,-0.306347871,-0.215805289,0.0,11687.0,综艺,0.010370373,0.879012972,0.189505655,综艺
2469,8015.0,小p我想你,1.0,0.0,0.0,0.0,0.836650855,0.0,1.0,-0.484938899,-0.082704472,-0.454588979,62021915.0,192.0,743.0,BV1Uz411v7QT,200817532.0,-0.037768906,0.12606516,0.15024465,-0.09350478,-0.198898228,-0.038611253,0.548354441,5.0,11687.0,综艺,0.010284066,0.874805458,0.187460828,综艺
2491,8054.0,砂糖酱,1.0,0.0,0.0,1.0,-2.300212141,1.0,0.0,-0.217022231,-0.067090125,-0.497195617,62532554.0,48.0,224.0,BV1w4411D7ue,63628896.0,1.764982335,3.707525989,3.106490739,2.14514446,0.31621559,1.764066669,6.959321485,1.0,11687.0,综艺,0.010284066,0.874805458,0.187460828,综艺
2511,8056.0,aj_基本无害,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,0.425457548,-0.042614147,-0.174418059,62651956.0,1025.0,308.0,BV1T34y1o73U,806829194.0,0.822570478,0.347808337,-0.080778625,0.699184185,0.69621832,0.823780963,0.227041057,1.0,28784.0,编程,-0.027621663,-0.395368648,-0.361350836,知识
2543,8057.0,赫敏和她的麻瓜老父亲,1.0,0.0,0.0,0.0,0.836650855,1.0,1.0,4.303746412,-0.082411179,0.153523939,98990757.0,46.0,58238.0,BV12W411D7Sh,30322097.0,-0.293244581,-0.261665417,-0.149498136,-0.309052445,-0.241337827,-0.293239509,-0.210985589,0.0,11687.0,综艺,0.010287094,0.874805458,0.187460828,综艺
2824,8069.0,虐妹狂魔冈本伦,1.0,0.0,0.0,1.0,0.836650855,1.0,1.0,0.565918714,-0.082166768,0.216142785,44638469.0,2270.0,234.0,BV1h3411879L,421673372.0,0.063660228,0.158660161,-0.101472318,0.264997767,-0.095081482,0.061537521,-0.01776914,0.0,50345.0,艾薇儿,-0.680209204,-0.510158035,-0.396312394,音乐
2834,8089.0,钢铁大衣叉,0.0,0.0,1.0,1.0,-2.300212141,0.0,1.0,-0.284651681,-0.082739387,-0.381964029,804057589.0,12.0,4160.0,BV1hW411x7Rz,20374883.0,-0.063546261,-0.194632157,0.035423292,-0.236905799,-0.207660644,-0.060866536,0.135237233,0.0,41917.0,心理学,-0.091755844,-0.476053909,-0.342249158,知识
2980,8092.0,火山飞狐,0.0,0.0,1.0,0.0,-0.731780643,1.0,0.0,-0.672220454,-0.08250196,-0.506878943,62581692.0,29.0,1469.0,BV1Px411u7gb,15682867.0,-0.301284356,-0.300507818,-0.162481262,-0.311928432,-0.242030773,-0.30127923,-0.215621682,0.0,1463475.0,增肌,-0.6208704,-0.491893961,-0.380801631,运动
2987,8102.0,朝阳路林有有,1.0,0.0,0.0,1.0,-3.868643638,1.0,0.0,-0.810080488,-0.082711455,-0.513334494,1126114002.0,6.0,239841.0,BV1JE411g7XF,94519857.0,0.292089988,0.055348026,0.431996113,-0.213005629,-0.180023269,0.289654171,-0.070969456,2.0,31864.0,公开课,0.507340617,0.181555717,-0.051285213,知识
2992,8122.0,Mr.Gan,0.0,0.0,1.0,0.0,0.836650855,1.0,1.0,-0.006330481,-0.082655589,-0.384546249,45204522.0,148.0,971.0,BV1mA41137oQ,332924371.0,-0.302413819,-0.297121361,-0.160263556,-0.30556302,-0.239889346,-0.302408686,-0.21389271,2.0,11687.0,综艺,0.010290122,0.874805458,0.187460828,综艺
3030,8139.0,这啥跟啥啊,1.0,0.0,0.0,0.0,0.836650855,0.0,0.0,0.768807065,-0.082732404,-0.474601188,313402839.0,6.0,129.0,BV1Rb411n7kw,46145403.0,-0.088094003,-0.243510529,-0.161423813,-0.272756054,-0.215689878,-0.088685639,-0.198821582,0.0,14379.0,PR,-0.363887,-0.494368969,-0.390576903,知识
3064,8140.0,蛋糕啾,0.0,1.0,0.0,1.0,-0.731780643,1.0,1.0,-0.102572392,-0.080749187,-0.496227284,59072240.0,63.0,283.0,BV1Gv41147qQ,245657569.0,-0.270221336,-0.172027183,-0.136015658,-0.181138736,-0.166611408,-0.270216419,-0.140663859,2.0,817374.0,芜湖大司马,-0.640842301,-0.501793993,-0.314120316,游戏
3087,8161.0,XHY,0.0,0.0,1.0,0.0,0.836650855,1.0,1.0,-0.776265762,-0.082690505,-0.346781275,52761361.0,526.0,235.0,BV1rQ4y1671f,720873650.0,1.722869493,0.242971911,-0.132255839,0.149480279,0.047978369,1.725119924,0.104635958,1.0,4344.0,健身,0.263869669,-0.045650018,-0.230831014,运动
